id,veh_value,exposure,veh_body,veh_age,gender,area,dr_age,claim_ind,claim_count,claim_cost
3,6.43,0.241897754,STNWG,1,M,A,3,0,0,0
6,4.46,0.856522757,STNWG,1,M,A,3,0,0,0
20,1.7,0.417516596,HBACK,1,M,A,4,0,0,0
21,0.48,0.626974524,SEDAN,4,F,A,6,0,0,0
28,1.96,0.089770031,HBACK,1,F,A,2,0,0,0
29,1.78,0.25654335,HBACK,2,M,A,3,0,0,0
31,2.7,0.688128611,UTE,2,M,A,1,0,0,0
34,0.94,0.912765859,STNWG,4,M,A,2,0,0,0
36,1.98,0.157753423,SEDAN,2,M,A,4,0,0,0
40,1.04,0.044920865,SEDAN,3,F,A,2,0,0,0
45,1.1,0.351634665,SEDAN,4,M,A,4,0,0,0
47,4.04,0.858067296,STNWG,2,M,A,4,0,0,0
49,1.38,0.654490078,STNWG,4,M,A,4,0,0,0
53,1.24,0.731126357,SEDAN,3,F,A,2,0,0,0
56,1.47,0.472666497,HBACK,1,M,A,1,0,0,0
57,1.35,0.630303137,SEDAN,3,F,A,4,0,0,0
61,1.59,0.686495538,SEDAN,3,M,A,3,0,0,0
63,1.92,0.916322649,SEDAN,2,F,A,5,0,0,0
64,3.63,0.635119178,STNWG,2,M,A,5,0,0,0
69,1.84,0.532929586,HBACK,2,F,A,3,0,0,0
73,3.77,0.202138282,STNWG,2,F,A,3,0,0,0
77,0.44,0.610263216,UTE,4,F,A,3,0,0,0
78,0.44,0.917491085,SEDAN,4,F,A,6,0,0,0
80,1.23,0.627490963,SEDAN,3,F,A,6,0,0,0
81,1.89,0.608144096,SEDAN,3,F,A,6,0,0,0
86,0.61,0.680916346,SEDAN,4,F,A,4,0,0,0
90,1.51,0.170432893,SEDAN,3,F,A,5,0,0,0
92,1.26,0.919359694,HBACK,3,F,A,5,0,0,0
97,4.91,0.659085101,TRUCK,1,F,A,4,0,0,0
98,2.31,0.26702117,STNWG,2,F,A,3,0,0,0
99,1.17,0.373406076,SEDAN,3,M,A,3,0,0,0
101,1.81,0.157805121,STNWG,4,M,A,2,0,0,0
102,1.25,0.917398657,SEDAN,3,F,A,6,0,0,0
105,1,0.342001507,HDTOP,4,M,A,4,0,0,0
107,1.46,0.908747989,STNWG,3,M,A,2,0,0,0
112,0.45,0.331974782,HBACK,4,F,A,3,0,0,0
115,0.76,0.858882411,HBACK,3,F,A,3,0,0,0
117,9.33,0.380635327,SEDAN,2,M,A,6,0,0,0
119,1.76,0.770876684,HBACK,2,M,A,4,0,0,0
122,3.32,0.034059806,HBACK,2,M,A,4,0,0,0
126,2.11,0.597717724,HDTOP,3,M,A,4,0,0,0
127,1.47,0.53188025,HBACK,1,F,A,2,0,0,0
131,0.9,0.991369421,HBACK,3,M,A,2,0,0,0
139,1.77,0.904718424,SEDAN,2,F,A,1,0,0,0
150,1.05,0.596981834,SEDAN,3,F,A,3,0,0,0
151,1.24,0.464050064,COUPE,4,M,A,2,0,0,0
152,2.38,0.605724365,HDTOP,2,F,A,5,0,0,0
154,2.6,0.917885848,STNWG,1,M,A,1,0,0,0
155,1.63,0.623050201,SEDAN,3,F,A,5,0,0,0
158,1.4,0.358146725,SEDAN,3,F,A,3,0,0,0
159,1.28,0.535546254,SEDAN,3,M,A,2,0,0,0
161,1.32,0.91937073,HBACK,2,M,A,2,0,0,0
163,0.6,0.097510087,SEDAN,4,F,A,3,0,0,0
165,6.41,0.2979211,SEDAN,3,M,A,5,0,0,0
166,1.47,0.167734387,UTE,3,F,A,3,0,0,0
173,5.17,0.605822199,STNWG,1,F,A,5,0,0,0
176,0.89,0.572977815,HBACK,4,M,A,3,0,0,0
177,1.94,0.657477374,SEDAN,3,F,A,2,0,0,0
183,4.67,0.91732282,STNWG,2,M,A,1,0,0,0
185,1.62,0.911814566,HBACK,1,M,A,2,0,0,0
188,1.34,0.620808848,SEDAN,3,M,A,4,0,0,0
192,0.91,0.915750692,SEDAN,3,F,A,2,0,0,0
193,0.81,0.49885795,HBACK,3,F,A,2,0,0,0
194,0.53,0.106128419,HBACK,4,M,A,3,0,0,0
195,1.37,0.919146608,STNWG,4,F,A,2,0,0,0
199,3.31,0.81624572,UTE,2,M,A,1,0,0,0
202,1.43,0.47791175,SEDAN,3,F,A,3,0,0,0
203,1.45,0.329116742,SEDAN,2,F,A,1,0,0,0
205,1.99,0.665994228,HDTOP,3,F,A,4,0,0,0
207,1.1,0.917298955,SEDAN,4,F,A,4,0,0,0
208,4.24,0.916914906,SEDAN,4,F,A,4,0,0,0
209,3.19,0.652718464,HBACK,2,M,A,5,0,0,0
211,2.27,0.092324162,SEDAN,2,M,A,2,0,0,0
218,0.76,0.548004075,STNWG,4,F,A,5,0,0,0
222,4.04,0.067972612,STNWG,1,F,A,5,0,0,0
225,0.73,0.377064456,HBACK,4,F,A,3,0,0,0
228,0.72,0.625174631,SEDAN,4,M,A,6,0,0,0
230,1.78,0.105546685,SEDAN,3,F,A,2,0,0,0
233,1.29,0.056205757,SEDAN,2,F,A,2,0,0,0
234,1.28,0.77650232,SEDAN,3,M,A,1,0,0,0
235,1.99,0.249154019,SEDAN,1,F,A,6,0,0,0
237,1.95,0.32591717,SEDAN,2,F,A,5,0,0,0
241,1.13,0.284061938,SEDAN,3,M,A,3,0,0,0
246,1.59,0.254821281,HBACK,1,F,A,3,0,0,0
248,0.87,0.542300138,HBACK,3,M,A,4,0,0,0
254,1.16,0.254854392,HBACK,2,F,A,5,0,0,0
259,0.95,0.420663999,HBACK,3,F,A,3,0,0,0
261,1.21,0.047018651,SEDAN,3,M,A,2,0,0,0
262,1.47,0.412479983,STNWG,4,M,A,4,0,0,0
266,1.08,0.663622134,SEDAN,3,M,A,4,0,0,0
269,1.39,0.161190419,HBACK,1,F,A,6,0,0,0
271,2.39,0.628348127,HDTOP,2,F,A,3,0,0,0
276,3.26,0.918144661,STNWG,3,M,A,5,0,0,0
278,0.2,0.63157547,HBACK,4,F,A,5,0,0,0
281,1.11,0.106346782,STNWG,3,M,A,3,0,0,0
283,0.94,0.156593001,COUPE,4,F,A,2,0,0,0
284,2.13,0.255971259,SEDAN,1,F,A,4,0,0,0
285,0.66,0.357339735,HBACK,4,F,A,1,0,0,0
287,1.24,0.162221579,SEDAN,3,M,A,4,0,0,0
289,1.81,0.629334689,UTE,3,M,A,5,0,0,0
290,1.16,0.157744787,SEDAN,3,F,A,6,0,0,0
299,2.19,0.535509682,SEDAN,2,F,A,3,0,0,0
300,3.23,0.285425603,STNWG,2,F,A,3,0,0,0
301,0.74,0.916030023,HBACK,4,M,A,3,0,0,0
303,1.65,0.65684277,HBACK,2,F,A,6,0,0,0
